"Payment Date","Salary","Bonus"
"January 2010","2010-01-29","2010-02-15"
"February 2010","2010-02-26","2010-03-15"
"March 2010","2010-03-31","2010-04-15"
"April 2010","2010-04-30","2010-05-19"
"May 2010","2010-05-31","2010-06-15"
"June 2010","2010-06-30","2010-07-15"
"July 2010","2010-07-30","2010-08-18"
"August 2010","2010-08-31","2010-09-15"
"September 2010","2010-09-30","2010-10-15"
"October 2010","2010-10-29","2010-11-15"
"November 2010","2010-11-30","2010-12-15"
"December 2010","2010-12-31","2011-01-19"
"January 2011","2011-01-31","2011-02-15"
"February 2011","2011-02-28","2011-03-15"
"March 2011","2011-03-31","2011-04-15"
"April 2011","2011-04-29","2011-05-18"
"May 2011","2011-05-31","2011-06-15"
"June 2011","2011-06-30","2011-07-15"
"July 2011","2011-07-29","2011-08-15"
"August 2011","2011-08-31","2011-09-15"
"September 2011","2011-09-30","2011-10-19"
"October 2011","2011-10-31","2011-11-15"
"November 2011","2011-11-30","2011-12-15"
"December 2011","2011-12-30","2012-01-18"
